respID,qID,altID,obsID,profileID,salary_increase,req_in_person_days,attendance_bonus,commute_credit,vacation_days,salary_cut,no_choice
1,1,1,1,2164,3,1,0,0,10,1,0
1,1,2,1,0,0,0,0,0,0,0,1
1,2,1,2,3083,4,4,0,100,0,2,0
1,2,2,2,0,0,0,0,0,0,0,1
1,3,1,3,4278,5,3,1,200,15,2,0
1,3,2,3,0,0,0,0,0,0,0,1
1,4,1,4,7880,1,4,1,200,5,5,0
1,4,2,4,0,0,0,0,0,0,0,1
1,5,1,5,4544,1,3,1,100,0,3,0
1,5,2,5,0,0,0,0,0,0,0,1
1,6,1,6,1938,5,3,1,50,5,1,0
1,6,2,6,0,0,0,0,0,0,0,1
1,7,1,7,7618,3,5,1,0,5,5,0
1,7,2,7,0,0,0,0,0,0,0,1
1,8,1,8,12,5,2,0,0,0,0,0
1,8,2,8,0,0,0,0,0,0,0,1
2,1,1,9,2571,2,4,1,0,15,1,0
2,1,2,9,0,0,0,0,0,0,0,1
2,2,1,10,6477,2,5,2,200,5,4,0
2,2,2,10,0,0,0,0,0,0,0,1
2,3,1,11,5494,3,1,0,50,15,3,0
2,3,2,11,0,0,0,0,0,0,0,1
2,4,1,12,1162,3,4,2,0,15,0,0
2,4,2,12,0,0,0,0,0,0,0,1
2,5,1,13,3050,1,4,2,50,0,2,0
2,5,2,13,0,0,0,0,0,0,0,1
2,6,1,14,1902,5,2,0,50,5,1,0
2,6,2,14,0,0,0,0,0,0,0,1
2,7,1,15,5802,5,2,1,0,0,4,0
2,7,2,15,0,0,0,0,0,0,0,1
2,8,1,16,346,3,3,2,200,0,0,0
2,8,2,16,0,0,0,0,0,0,0,1
3,1,1,17,4293,2,1,2,200,15,2,0
3,1,2,17,0,0,0,0,0,0,0,1
3,2,1,18,5915,4,1,2,50,0,4,0
3,2,2,18,0,0,0,0,0,0,0,1
3,3,1,19,257,4,3,2,100,0,0,0
3,3,2,19,0,0,0,0,0,0,0,1
3,4,1,20,8044,3,1,1,50,10,5,0
3,4,2,20,0,0,0,0,0,0,0,1
3,5,1,21,6951,2,4,0,50,15,4,0
3,5,2,21,0,0,0,0,0,0,0,1
3,6,1,22,2774,1,3,2,100,15,1,0
3,6,2,22,0,0,0,0,0,0,0,1
3,7,1,23,2242,3,4,2,0,10,1,0
3,7,2,23,0,0,0,0,0,0,0,1
3,8,1,24,7317,2,5,0,50,0,5,0
3,8,2,24,0,0,0,0,0,0,0,1
4,1,1,25,7979,4,5,1,0,10,5,0
4,1,2,25,0,0,0,0,0,0,0,1
4,2,1,26,4790,1,4,0,50,5,3,0
4,2,2,26,0,0,0,0,0,0,0,1
4,3,1,27,4885,0,5,0,100,5,3,0
4,3,2,27,0,0,0,0,0,0,0,1
4,4,1,28,3834,5,4,1,100,10,2,0
4,4,2,28,0,0,0,0,0,0,0,1
4,5,1,29,3712,3,4,0,50,10,2,0
4,5,2,29,0,0,0,0,0,0,0,1
4,6,1,30,716,1,5,2,200,5,0,0
4,6,2,30,0,0,0,0,0,0,0,1
4,7,1,31,2849,4,5,1,200,15,1,0
4,7,2,31,0,0,0,0,0,0,0,1
4,8,1,32,3684,5,4,2,0,10,2,0
4,8,2,32,0,0,0,0,0,0,0,1
5,1,1,33,5272,3,4,1,100,10,3,0
5,1,2,33,0,0,0,0,0,0,0,1
5,2,1,34,3056,1,5,2,50,0,2,0
5,2,2,34,0,0,0,0,0,0,0,1
5,3,1,35,4065,2,3,0,50,15,2,0
5,3,2,35,0,0,0,0,0,0,0,1
5,4,1,36,6391,0,1,0,200,5,4,0
5,4,2,36,0,0,0,0,0,0,0,1
5,5,1,37,8035,0,5,0,50,10,5,0
5,5,2,37,0,0,0,0,0,0,0,1
5,6,1,38,7596,5,1,1,0,5,5,0
5,6,2,38,0,0,0,0,0,0,0,1
5,7,1,39,2677,0,2,2,50,15,1,0
5,7,2,39,0,0,0,0,0,0,0,1
5,8,1,40,5665,0,5,2,100,15,3,0
5,8,2,40,0,0,0,0,0,0,0,1
6,1,1,41,2036,1,5,1,100,5,1,0
6,1,2,41,0,0,0,0,0,0,0,1
6,2,1,42,7906,3,3,2,200,5,5,0
6,2,2,42,0,0,0,0,0,0,0,1
6,3,1,43,3693,2,1,0,50,10,2,0
6,3,2,43,0,0,0,0,0,0,0,1
6,4,1,44,5608,3,5,0,100,15,3,0
6,4,2,44,0,0,0,0,0,0,0,1
6,5,1,45,4336,3,3,0,0,0,3,0
6,5,2,45,0,0,0,0,0,0,0,1
6,6,1,46,5279,4,5,1,100,10,3,0
6,6,2,46,0,0,0,0,0,0,0,1
6,7,1,47,1534,3,1,0,50,0,1,0
6,7,2,47,0,0,0,0,0,0,0,1
6,8,1,48,4259,4,5,0,200,15,2,0
6,8,2,48,0,0,0,0,0,0,0,1
7,1,1,49,3425,4,1,0,100,5,2,0
7,1,2,49,0,0,0,0,0,0,0,1
7,2,1,50,6746,1,5,2,100,10,4,0
7,2,2,50,0,0,0,0,0,0,0,1
7,3,1,51,4404,5,4,2,0,0,3,0
7,3,2,51,0,0,0,0,0,0,0,1
7,4,1,52,7920,5,5,2,200,5,5,0
7,4,2,52,0,0,0,0,0,0,0,1
7,5,1,53,4491,2,4,2,50,0,3,0
7,5,2,53,0,0,0,0,0,0,0,1
7,6,1,54,4226,1,5,2,100,15,2,0
7,6,2,54,0,0,0,0,0,0,0,1
7,7,1,55,3248,1,2,0,0,5,2,0
7,7,2,55,0,0,0,0,0,0,0,1
7,8,1,56,3719,4,5,0,50,10,2,0
7,8,2,56,0,0,0,0,0,0,0,1
8,1,1,57,893,4,4,2,50,10,0,0
8,1,2,57,0,0,0,0,0,0,0,1
8,2,1,58,439,0,4,2,0,5,0,0
8,2,2,58,0,0,0,0,0,0,0,1
8,3,1,59,6241,0,1,1,50,5,4,0
8,3,2,59,0,0,0,0,0,0,0,1
8,4,1,60,1074,5,4,2,200,10,0,0
8,4,2,60,0,0,0,0,0,0,0,1
8,5,1,61,5687,4,3,0,200,15,3,0
8,5,2,61,0,0,0,0,0,0,0,1
8,6,1,62,1024,3,1,1,200,10,0,0
8,6,2,62,0,0,0,0,0,0,0,1
8,7,1,63,5114,1,3,2,0,10,3,0
8,7,2,63,0,0,0,0,0,0,0,1
8,8,1,64,1114,3,1,1,0,15,0,0
8,8,2,64,0,0,0,0,0,0,0,1
9,1,1,65,2010,5,5,0,100,5,1,0
9,1,2,65,0,0,0,0,0,0,0,1
9,2,1,66,5914,3,1,2,50,0,4,0
9,2,2,66,0,0,0,0,0,0,0,1
9,3,1,67,3590,1,4,2,200,5,2,0
9,3,2,67,0,0,0,0,0,0,0,1
9,4,1,68,7875,2,3,1,200,5,5,0
9,4,2,68,0,0,0,0,0,0,0,1
9,5,1,69,7566,5,1,0,0,5,5,0
9,5,2,69,0,0,0,0,0,0,0,1
9,6,1,70,5345,4,1,1,200,10,3,0
9,6,2,70,0,0,0,0,0,0,0,1
9,7,1,71,2285,4,1,1,50,10,1,0
9,7,2,71,0,0,0,0,0,0,0,1
9,8,1,72,8147,4,3,1,100,10,5,0
9,8,2,72,0,0,0,0,0,0,0,1
10,1,1,73,1492,3,4,1,0,0,1,0
10,1,2,73,0,0,0,0,0,0,0,1
10,2,1,74,6204,5,4,2,0,5,4,0
10,2,2,74,0,0,0,0,0,0,0,1
10,3,1,75,7156,3,3,1,200,15,4,0
10,3,2,75,0,0,0,0,0,0,0,1
10,4,1,76,5564,1,3,2,50,15,3,0
10,4,2,76,0,0,0,0,0,0,0,1
10,5,1,77,6926,1,5,2,0,15,4,0
10,5,2,77,0,0,0,0,0,0,0,1
10,6,1,78,1103,4,4,0,0,15,0,0
10,6,2,78,0,0,0,0,0,0,0,1
10,7,1,79,3127,0,2,2,100,0,2,0
10,7,2,79,0,0,0,0,0,0,0,1
10,8,1,80,7110,5,5,2,100,15,4,0
10,8,2,80,0,0,0,0,0,0,0,1
