respID,qID,altID,obsID,profileID,salary_increase,req_in_person_days,attendance_bonus,commute_credit,vacation_days,salary_cut,no_choice
1,1,1,1,8562,3,4,2,200,0,0,0
1,1,2,1,0,0,0,0,0,0,3,1
1,2,1,2,14034,8,1,0,50,5,0,0
1,2,2,2,0,0,0,0,0,0,5,1
1,3,1,3,15099,6,3,1,200,10,0,0
1,3,2,3,0,0,0,0,0,0,5,1
1,4,1,4,27502,1,1,2,100,5,0,0
1,4,2,4,0,0,0,0,0,0,10,1
1,5,1,5,4828,9,4,0,50,15,0,0
1,5,2,5,0,0,0,0,0,0,1,1
1,6,1,6,20778,9,4,2,50,15,0,0
1,6,2,6,0,0,0,0,0,0,7,1
1,7,1,7,16392,1,1,1,200,0,0,0
1,7,2,7,0,0,0,0,0,0,6,1
1,8,1,8,10616,0,1,1,0,0,0,0
1,8,2,8,0,0,0,0,0,0,4,1
2,1,1,9,9246,5,1,0,0,10,0,0
2,1,2,9,0,0,0,0,0,0,3,1
2,2,1,10,8506,2,4,1,200,0,0,0
2,2,2,10,0,0,0,0,0,0,3,1
2,3,1,11,15022,6,1,0,200,10,0,0
2,3,2,11,0,0,0,0,0,0,5,1
2,4,1,12,309,0,4,2,50,0,0,0
2,4,2,12,0,0,0,0,0,0,0,1
2,5,1,13,3132,7,5,2,100,0,0,0
2,5,2,13,0,0,0,0,0,0,1,1
2,6,1,14,15874,0,4,0,0,0,0,0
2,6,2,14,0,0,0,0,0,0,6,1
2,7,1,15,28104,9,5,0,100,10,0,0
2,7,2,15,0,0,0,0,0,0,10,1
2,8,1,16,20259,7,2,2,100,10,0,0
2,8,2,16,0,0,0,0,0,0,7,1
3,1,1,17,26743,1,2,0,100,0,0,0
3,1,2,17,0,0,0,0,0,0,10,1
3,2,1,18,13605,8,2,1,100,0,0,0
3,2,2,18,0,0,0,0,0,0,5,1
3,3,1,19,13145,10,5,1,200,15,0,0
3,3,2,19,0,0,0,0,0,0,4,1
3,4,1,20,18992,5,2,0,200,0,0,0
3,4,2,20,0,0,0,0,0,0,7,1
3,5,1,21,5079,7,2,2,100,15,0,0
3,5,2,21,0,0,0,0,0,0,1,1
3,6,1,22,2291,2,4,2,50,15,0,0
3,6,2,22,0,0,0,0,0,0,0,1
3,7,1,23,4377,9,3,1,100,10,0,0
3,7,2,23,0,0,0,0,0,0,1,1
3,8,1,24,12128,5,3,1,50,10,0,0
3,8,2,24,0,0,0,0,0,0,4,1
4,1,1,25,9413,7,1,0,50,10,0,0
4,1,2,25,0,0,0,0,0,0,3,1
4,2,1,26,5696,8,3,1,100,0,0,0
4,2,2,26,0,0,0,0,0,0,2,1
4,3,1,27,24422,1,1,0,0,5,0,0
4,3,2,27,0,0,0,0,0,0,9,1
4,4,1,28,10589,6,3,0,0,0,0,0
4,4,2,28,0,0,0,0,0,0,4,1
4,5,1,29,20629,3,1,0,50,15,0,0
4,5,2,29,0,0,0,0,0,0,7,1
4,6,1,30,24686,1,5,1,50,5,0,0
4,6,2,30,0,0,0,0,0,0,9,1
4,7,1,31,11218,8,5,2,200,0,0,0
4,7,2,31,0,0,0,0,0,0,4,1
4,8,1,32,20895,5,5,1,100,15,0,0
4,8,2,32,0,0,0,0,0,0,7,1
5,1,1,33,27433,9,4,0,100,5,0,0
5,1,2,33,0,0,0,0,0,0,10,1
5,2,1,34,19635,10,5,2,100,5,0,0
5,2,2,34,0,0,0,0,0,0,7,1
5,3,1,35,11842,5,2,2,200,5,0,0
5,3,2,35,0,0,0,0,0,0,4,1
5,4,1,36,12240,7,3,0,100,10,0,0
5,4,2,36,0,0,0,0,0,0,4,1
5,5,1,37,15946,6,5,1,0,0,0,0
5,5,2,37,0,0,0,0,0,0,6,1
5,6,1,38,15052,3,4,0,200,10,0,0
5,6,2,38,0,0,0,0,0,0,5,1
5,7,1,39,28040,0,5,2,50,10,0,0
5,7,2,39,0,0,0,0,0,0,10,1
5,8,1,40,25535,3,2,2,100,10,0,0
5,8,2,40,0,0,0,0,0,0,9,1
6,1,1,41,13030,5,5,2,100,15,0,0
6,1,2,41,0,0,0,0,0,0,4,1
6,2,1,42,28665,9,1,2,50,15,0,0
6,2,2,42,0,0,0,0,0,0,10,1
6,3,1,43,21278,3,5,2,0,0,0,0
6,3,2,43,0,0,0,0,0,0,8,1
6,4,1,44,8961,6,5,0,100,5,0,0
6,4,2,44,0,0,0,0,0,0,3,1
6,5,1,45,28469,0,4,1,0,15,0,0
6,5,2,45,0,0,0,0,0,0,10,1
6,6,1,46,16483,4,4,2,200,0,0,0
6,6,2,46,0,0,0,0,0,0,6,1
6,7,1,47,17136,8,3,2,200,5,0,0
6,7,2,47,0,0,0,0,0,0,6,1
6,8,1,48,1889,7,2,1,200,10,0,0
6,8,2,48,0,0,0,0,0,0,0,1
7,1,1,49,16913,5,3,1,100,5,0,0
7,1,2,49,0,0,0,0,0,0,6,1
7,2,1,50,24973,2,1,1,200,5,0,0
7,2,2,50,0,0,0,0,0,0,9,1
7,3,1,51,17187,4,3,0,0,10,0,0
7,3,2,51,0,0,0,0,0,0,6,1
7,4,1,52,19156,4,2,0,0,5,0,0
7,4,2,52,0,0,0,0,0,0,7,1
7,5,1,53,5216,1,5,1,200,15,0,0
7,5,2,53,0,0,0,0,0,0,1,1
7,6,1,54,24452,9,3,0,0,5,0,0
7,6,2,54,0,0,0,0,0,0,9,1
7,7,1,55,23743,4,4,2,200,15,0,0
7,7,2,55,0,0,0,0,0,0,8,1
7,8,1,56,26328,4,4,1,200,15,0,0
7,8,2,56,0,0,0,0,0,0,9,1
8,1,1,57,4101,8,3,2,0,10,0,0
8,1,2,57,0,0,0,0,0,0,1,1
8,2,1,58,5703,4,4,1,100,0,0,0
8,2,2,58,0,0,0,0,0,0,2,1
8,3,1,59,25099,7,2,0,0,10,0,0
8,3,2,59,0,0,0,0,0,0,9,1
8,4,1,60,11679,7,2,2,100,5,0,0
8,4,2,60,0,0,0,0,0,0,4,1
8,5,1,61,985,5,5,2,50,5,0,0
8,5,2,61,0,0,0,0,0,0,0,1
8,6,1,62,14127,2,5,1,50,5,0,0
8,6,2,62,0,0,0,0,0,0,5,1
8,7,1,63,17337,0,2,0,50,10,0,0
8,7,2,63,0,0,0,0,0,0,6,1
8,8,1,64,1035,0,5,0,100,5,0,0
